subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest,num_presses
66a0fbfd52a85e69af5dd200,0,0,good,136018,25,49,243,"[0, 1170, 1306, 1392, 2051, 2058, 2261, 2989, 3763, 3135, 3492, 4002, 4352, 4776, 4960, 5321, 5952, 6479, 6402, 7252, 7520, 7365, 7743, 8796, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49]"
66a0fbfd52a85e69af5dd200,0,1,bad,94180,15,71,140,"[0, 820, 1699, 2589, 3409, 4406, 5303, 5164, 6147, 7876, 7752, 9450, 10138, 12350, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66, 71]"
66a0fbfd52a85e69af5dd200,0,2,bad,99774,15,71,139,"[0, 868, 1649, 2667, 2975, 3651, 5204, 6612, 6908, 8329, 9483, 10065, 11732, 11690, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66, 71]"
66a0fbfd52a85e69af5dd200,0,3,good,134764,25,49,248,"[0, 337, 624, 1022, 1349, 1632, 2022, 2268, 2496, 3078, 3849, 4112, 4578, 4355, 5532, 5551, 6075, 6657, 7031, 7904, 7871, 7768, 8404, 8978, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49]"
66a0fbfd52a85e69af5dd200,0,4,good,118274,24,47,231,"[0, 332, 626, 1001, 1277, 1693, 2180, 2483, 2836, 3246, 2787, 3486, 4177, 5024, 4986, 5473, 6290, 6594, 6206, 6832, 7078, 7385, 7451, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47]"
66a0fbfd52a85e69af5dd200,0,5,bad,90242,14,66,131,"[0, 836, 1598, 2407, 3470, 4597, 5289, 6355, 7500, 8474, 9782, 10762, 11743, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]"
66a0fbfd52a85e69af5dd200,0,6,bad,67350,12,56,116,"[0, 1080, 1877, 2570, 3448, 4774, 5718, 6728, 8090, 8753, 9276, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56]"
66a0fbfd52a85e69af5dd200,0,7,bad,82989,13,61,119,"[0, 820, 1570, 2566, 3132, 4884, 5246, 6863, 9544, 9700, 11115, 7569, 4446]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61]"
66a0fbfd52a85e69af5dd200,1,0,good,53799,16,31,148,"[0, 327, 613, 1090, 1235, 1619, 1890, 2243, 2697, 3132, 3297, 3801, 4075, 4621, 4643, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31]"
66a0fbfd52a85e69af5dd200,1,1,bad,49676,11,51,101,"[0, 772, 1657, 2288, 3329, 3898, 4834, 5682, 6964, 7872, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51]"
66a0fbfd52a85e69af5dd200,1,2,bad,52867,11,51,98,"[0, 879, 1768, 2643, 3701, 4935, 5223, 6386, 7125, 8154, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51]"
66a0fbfd52a85e69af5dd200,1,3,bad,59042,12,56,112,"[0, 831, 1666, 2470, 3132, 4165, 4966, 5807, 6814, 7431, 8070, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56]"
66a0fbfd52a85e69af5dd200,1,4,good,55293,16,31,148,"[0, 353, 719, 1101, 1460, 1707, 1888, 2428, 2696, 3176, 3255, 3634, 4179, 4043, 4290, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31]"
66a0fbfd52a85e69af5dd200,1,5,good,52824,16,31,152,"[0, 323, 656, 1011, 1325, 1594, 1877, 2135, 2631, 2773, 3235, 3389, 3989, 3986, 4718, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31]"
66a0fbfd52a85e69af5dd200,1,6,bad,59467,12,56,111,"[0, 875, 1639, 2464, 3207, 4265, 4932, 6063, 7060, 7778, 8045, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56]"
66a0fbfd52a85e69af5dd200,1,7,bad,52938,11,51,100,"[0, 906, 1795, 2793, 3740, 4556, 5638, 6572, 7188, 7663, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51]"
66a0fbfd52a85e69af5dd200,1,8,bad,62618,12,56,108,"[0, 918, 1786, 2690, 3355, 4402, 5512, 6617, 7261, 7696, 8533, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56]"
66a0fbfd52a85e69af5dd200,1,9,good,21994,10,19,84,"[0, 318, 672, 912, 1226, 1564, 1911, 2151, 2541, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
66a0fbfd52a85e69af5dd200,1,10,good,15875,8,15,71,"[0, 310, 657, 1008, 1374, 1786, 2140, 0]","[1, 3, 5, 7, 9, 11, 13, 15]"
66a0fbfd52a85e69af5dd200,1,11,bad,49773,11,51,98,"[0, 911, 1704, 2439, 3462, 3967, 4693, 6011, 6993, 7462, 0]","[1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51]"
66a0fbfd52a85e69af5dd200,1,12,good,37173,13,25,124,"[0, 341, 690, 1130, 1406, 1761, 2089, 2622, 2702, 2852, 3140, 3239, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]"
66a0fbfd52a85e69af5dd200,1,13,good,19491,9,17,80,"[0, 342, 695, 1009, 1426, 1782, 2128, 2247, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17]"
66a0fbfd52a85e69af5dd200,1,14,bad,26303,8,36,69,"[0, 840, 1648, 2642, 3403, 4081, 4734, 0]","[1, 6, 11, 16, 21, 26, 31, 36]"
66a0fbfd52a85e69af5dd200,1,15,good,24393,10,19,88,"[0, 352, 655, 1037, 1355, 1726, 2193, 2335, 3222, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
66a0fbfd52a85e69af5dd200,1,16,good,23869,10,19,88,"[0, 346, 721, 1040, 1371, 1756, 2150, 2553, 2877, 0]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
66a0fbfd52a85e69af5dd200,1,17,bad,25563,8,36,70,"[0, 868, 1758, 2516, 3385, 4062, 4255, 0]","[1, 6, 11, 16, 21, 26, 31, 36]"
